molecule,L,basis,active_occupied,active_vacant,qubits,scheme,vertices,noncommuting_edges,colors,order,steps,spectral_error,reconstruction_error,file
B-B,1.36,hgbs-5,2,4,6,JW_Pauli_string_commutation,34,168,3,2,5,5.5813152229859654e-05,4.263256414560601e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-002-004_jw.dat
B-B,1.36,hgbs-5,2,4,6,JW_Pauli_string_commutation,34,168,3,2,10,1.3956305903313322e-05,4.263256414560601e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-002-004_jw.dat
B-B,1.36,sto-6g,2,2,4,fermionic_commutation_then_JW,23,32,2,1,1,0.001184740994077949,1.4210854715202004e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/sto-6g/B-B_1.36_sto-6g_as-002-002_jw.dat
B-B,1.36,sto-6g,2,2,4,fermionic_commutation_then_JW,23,32,2,1,2,0.0005923115673176016,1.4210854715202004e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/sto-6g/B-B_1.36_sto-6g_as-002-002_jw.dat
B-B,1.36,sto-6g,2,2,4,fermionic_commutation_then_JW,23,32,2,1,5,0.0002369180264081552,1.4210854715202004e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/sto-6g/B-B_1.36_sto-6g_as-002-002_jw.dat
B-B,1.36,sto-6g,2,2,4,fermionic_commutation_then_JW,23,32,2,1,10,0.00011845854173486339,1.4210854715202004e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/sto-6g/B-B_1.36_sto-6g_as-002-002_jw.dat
B-B,1.36,sto-6g,2,2,4,fermionic_commutation_then_JW,23,32,2,2,1,1.4697940689478007e-05,1.4210854715202004e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/sto-6g/B-B_1.36_sto-6g_as-002-002_jw.dat
B-B,1.36,sto-6g,2,2,4,fermionic_commutation_then_JW,23,32,2,2,2,3.6740487612043345e-06,1.4210854715202004e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/sto-6g/B-B_1.36_sto-6g_as-002-002_jw.dat
B-B,1.36,sto-6g,2,2,4,fermionic_commutation_then_JW,23,32,2,2,5,5.87828252324685e-07,1.4210854715202004e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/sto-6g/B-B_1.36_sto-6g_as-002-002_jw.dat
B-B,1.36,sto-6g,2,2,4,fermionic_commutation_then_JW,23,32,2,2,10,1.469563680271884e-07,1.4210854715202004e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/sto-6g/B-B_1.36_sto-6g_as-002-002_jw.dat
B-B,1.36,sto-6g,2,2,4,JW_Pauli_string_commutation,15,16,2,1,1,0.0011847409940803192,1.4210854715202004e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/sto-6g/B-B_1.36_sto-6g_as-002-002_jw.dat
B-B,1.36,sto-6g,2,2,4,JW_Pauli_string_commutation,15,16,2,1,2,0.0005923115673200138,1.4210854715202004e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/sto-6g/B-B_1.36_sto-6g_as-002-002_jw.dat
B-B,1.36,sto-6g,2,2,4,JW_Pauli_string_commutation,15,16,2,1,5,0.00023691802640830488,1.4210854715202004e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/sto-6g/B-B_1.36_sto-6g_as-002-002_jw.dat
B-B,1.36,sto-6g,2,2,4,JW_Pauli_string_commutation,15,16,2,1,10,0.0001184585417347402,1.4210854715202004e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/sto-6g/B-B_1.36_sto-6g_as-002-002_jw.dat
B-B,1.36,sto-6g,2,2,4,JW_Pauli_string_commutation,15,16,2,2,1,1.5792701769795087e-05,1.4210854715202004e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/sto-6g/B-B_1.36_sto-6g_as-002-002_jw.dat
B-B,1.36,sto-6g,2,2,4,JW_Pauli_string_commutation,15,16,2,2,2,3.947721981321398e-06,1.4210854715202004e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/sto-6g/B-B_1.36_sto-6g_as-002-002_jw.dat
B-B,1.36,sto-6g,2,2,4,JW_Pauli_string_commutation,15,16,2,2,5,6.316152030448791e-07,1.4210854715202004e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/sto-6g/B-B_1.36_sto-6g_as-002-002_jw.dat
B-B,1.36,sto-6g,2,2,4,JW_Pauli_string_commutation,15,16,2,2,10,1.5790308081503808e-07,1.4210854715202004e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/sto-6g/B-B_1.36_sto-6g_as-002-002_jw.dat
B-B,1.36,sto-6g,2,4,6,fermionic_commutation_then_JW,55,360,4,1,1,0.22063505121241742,3.552713678800501e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/sto-6g/B-B_1.36_sto-6g_as-002-004_jw.dat
B-B,1.36,sto-6g,2,4,6,fermionic_commutation_then_JW,55,360,4,1,2,0.11874909958012823,3.552713678800501e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/sto-6g/B-B_1.36_sto-6g_as-002-004_jw.dat
B-B,1.36,sto-6g,2,4,6,fermionic_commutation_then_JW,55,360,4,1,5,0.048468299679246755,3.552713678800501e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/sto-6g/B-B_1.36_sto-6g_as-002-004_jw.dat
B-B,1.36,sto-6g,2,4,6,fermionic_commutation_then_JW,55,360,4,1,10,0.02430353941204522,3.552713678800501e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/sto-6g/B-B_1.36_sto-6g_as-002-004_jw.dat
B-B,1.36,sto-6g,2,4,6,fermionic_commutation_then_JW,55,360,4,2,1,0.053043430856685295,3.552713678800501e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/sto-6g/B-B_1.36_sto-6g_as-002-004_jw.dat
B-B,1.36,sto-6g,2,4,6,fermionic_commutation_then_JW,55,360,4,2,2,0.013872400081747685,3.552713678800501e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/sto-6g/B-B_1.36_sto-6g_as-002-004_jw.dat
B-B,1.36,sto-6g,2,4,6,fermionic_commutation_then_JW,55,360,4,2,5,0.002247400523871224,3.552713678800501e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/sto-6g/B-B_1.36_sto-6g_as-002-004_jw.dat
B-B,1.36,sto-6g,2,4,6,fermionic_commutation_then_JW,55,360,4,2,10,0.0005628466345032973,3.552713678800501e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/sto-6g/B-B_1.36_sto-6g_as-002-004_jw.dat
B-B,1.36,sto-6g,2,4,6,JW_Pauli_string_commutation,34,168,3,1,1,0.21665548493868692,3.552713678800501e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/sto-6g/B-B_1.36_sto-6g_as-002-004_jw.dat
B-B,1.36,sto-6g,2,4,6,JW_Pauli_string_commutation,34,168,3,1,2,0.11628673604771879,3.552713678800501e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/sto-6g/B-B_1.36_sto-6g_as-002-004_jw.dat
B-B,1.36,sto-6g,2,4,6,JW_Pauli_string_commutation,34,168,3,1,5,0.04743051469089954,3.552713678800501e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/sto-6g/B-B_1.36_sto-6g_as-002-004_jw.dat
B-B,1.36,sto-6g,2,4,6,JW_Pauli_string_commutation,34,168,3,1,10,0.023781108373178008,3.552713678800501e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/sto-6g/B-B_1.36_sto-6g_as-002-004_jw.dat
B-B,1.36,sto-6g,2,4,6,JW_Pauli_string_commutation,34,168,3,2,1,0.038432726431371265,3.552713678800501e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/sto-6g/B-B_1.36_sto-6g_as-002-004_jw.dat
B-B,1.36,sto-6g,2,4,6,JW_Pauli_string_commutation,34,168,3,2,2,0.009962180327740504,3.552713678800501e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/sto-6g/B-B_1.36_sto-6g_as-002-004_jw.dat
B-B,1.36,sto-6g,2,4,6,JW_Pauli_string_commutation,34,168,3,2,5,0.0016102168767460326,3.552713678800501e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/sto-6g/B-B_1.36_sto-6g_as-002-004_jw.dat
B-B,1.36,sto-6g,2,4,6,JW_Pauli_string_commutation,34,168,3,2,10,0.00040313872676402455,3.552713678800501e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/sto-6g/B-B_1.36_sto-6g_as-002-004_jw.dat
B-B,1.87,hgbs-5,2,2,4,fermionic_commutation_then_JW,23,32,2,1,1,7.056253112655766e-05,1.4210854715202004e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.87/hgbs-5/B-B_1.87_hgbs-5_as-002-002_jw.dat
B-B,1.87,hgbs-5,2,2,4,fermionic_commutation_then_JW,23,32,2,1,2,3.528099173808746e-05,1.4210854715202004e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.87/hgbs-5/B-B_1.87_hgbs-5_as-002-002_jw.dat
