mapping,class_id,operator_error_rank,operator_error,state_error,commutator_surrogate,predicted_leading_error,surrogate_rank,tags,order_indices,order_labels
bk,3613,7,0.016238357493598456,0.016238357493598383,0.028057079755018127,0.014028539877509063,55,,4 0 6 7 8 9 10 11 1 2 5 3 12 13,P0004 P0000 P0006 P0007 P0008 P0009 P0010 P0011 P0001 P0002 P0005 P0003 P0012 P0013
bk,3800,8,0.016238357493598456,0.016238357493598383,0.028057079755018127,0.014028539877509063,56,,4 1 6 7 8 9 10 11 0 3 5 2 12 13,P0004 P0001 P0006 P0007 P0008 P0009 P0010 P0011 P0000 P0003 P0005 P0002 P0012 P0013
bk,4978,49,0.01761802249980552,0.009492093609293342,0.028057079755018127,0.014028539877509063,57,,5 2 4 1 3 6 7 8 9 10 12 13 0 11,P0005 P0002 P0004 P0001 P0003 P0006 P0007 P0008 P0009 P0010 P0012 P0013 P0000 P0011
bk,5083,50,0.01761802249980552,0.009492093609293342,0.028057079755018127,0.014028539877509063,58,,5 3 4 0 2 6 7 8 9 10 12 13 1 11,P0005 P0003 P0004 P0000 P0002 P0006 P0007 P0008 P0009 P0010 P0012 P0013 P0001 P0011
bk,4638,51,0.017618022499805524,0.009492093609293342,0.028057079755018127,0.014028539877509063,59,,5 0 4 1 3 6 7 8 9 10 12 13 2 11,P0005 P0000 P0004 P0001 P0003 P0006 P0007 P0008 P0009 P0010 P0012 P0013 P0002 P0011
bk,4819,52,0.017618022499805524,0.009492093609293342,0.028057079755018127,0.014028539877509063,60,,5 1 4 0 2 6 7 8 9 10 12 13 3 11,P0005 P0001 P0004 P0000 P0002 P0006 P0007 P0008 P0009 P0010 P0012 P0013 P0003 P0011
bk,3900,61,0.01761802249980555,0.009492093609293296,0.028057079755018127,0.014028539877509063,61,,4 2 5 0 3 6 7 8 9 10 11 1 12 13,P0004 P0002 P0005 P0000 P0003 P0006 P0007 P0008 P0009 P0010 P0011 P0001 P0012 P0013
bk,4025,62,0.01761802249980555,0.009492093609293296,0.028057079755018127,0.014028539877509063,62,,4 3 5 1 2 6 7 8 9 10 11 0 12 13,P0004 P0003 P0005 P0001 P0002 P0006 P0007 P0008 P0009 P0010 P0011 P0000 P0012 P0013
bk,3567,63,0.017618022499805555,0.009492093609293296,0.028057079755018127,0.014028539877509063,63,,4 0 5 1 2 6 7 8 9 10 11 3 12 13,P0004 P0000 P0005 P0001 P0002 P0006 P0007 P0008 P0009 P0010 P0011 P0003 P0012 P0013
bk,3754,64,0.017618022499805555,0.009492093609293296,0.028057079755018127,0.014028539877509063,64,,4 1 5 0 3 6 7 8 9 10 11 2 12 13,P0004 P0001 P0005 P0000 P0003 P0006 P0007 P0008 P0009 P0010 P0011 P0002 P0012 P0013
