# number of frozen, occupied, single-occupancy orbitals = 2
# number of active, occupied, single-occupancy orbitals = 4
# number of active, vacant, single-occupancy orbitals = 8
# number of frozen, vacant, single-occupancy orbitals = 6
# size of active space = 12
# number of qubits = 12
# basis set = sto-6g
# interatomic separation (angstroms) = 1.596
# fermion-to-qubit operator mapping = bravyi-kitaev
# number of terms in sum of Pauli strings = 327
# one-norm of sum of Pauli strings (Hartrees) = 21.312654515343823
# eigenvalue lower bound from shifted one-norm (Hartrees) = -21.312654515343823
# eigenvalue upper bound from shifted one-norm (Hartrees) = -1.8495345334438156
# Hartree-Fock energy (Hartrees) = -14.721751565021146
# runtime for Hartree-Fock calculation (seconds) = 0.43511128425598145
# runtime for active space calculation (seconds) = 0.0025081634521484375
# runtime for fermion-to-qubit calculation (seconds) = 0.019158124923706055
 9.70110348819934742e-01 ZIIIIIIIIIII
1.36833221434744679e-02+0.00000000000000000e+00j IZXZIIXIIIII
1.36833221434744679e-02+0.00000000000000000e+00j IIXZIZXZIIII
1.36833221434744679e-02+0.00000000000000000e+00j IIYZIZYZIIII
3.27454385402741778e-03+0.00000000000000000e+00j IIIIYZYIIIII
3.27454385402741778e-03+0.00000000000000000e+00j IIIIXZXIIIII
3.27454385402741778e-03+0.00000000000000000e+00j IIIZXZXZIIII
3.27454385402741778e-03+0.00000000000000000e+00j IIIZYZYZIIII
1.74709404167369881e-03+0.00000000000000000e+00j IYXXIIIYXXIX
1.74709404167369881e-03+0.00000000000000000e+00j ZYYYIIIYXXIX
1.74709404167369881e-03+0.00000000000000000e+00j IYYXIIIYYXIX
-1.74709404167369881e-03+0.00000000000000000e+00j ZYXYIIIYYXIX
-1.02223698910680312e-03+0.00000000000000000e+00j IYIXXIIYXXIX
1.02223698910680312e-03+0.00000000000000000e+00j ZXIXYZIYXXIX
-1.02223698910680312e-03+0.00000000000000000e+00j IYIXYIIYYXIX
-1.02223698910680312e-03+0.00000000000000000e+00j ZXIXXZIYYXIX
-1.02223698910680443e-03+0.00000000000000000e+00j IYIXIIXYXXIX
1.02223698910680443e-03+0.00000000000000000e+00j ZXIYIZYXXXIX
-1.02223698910680443e-03+0.00000000000000000e+00j IYIXIIYYYXIX
-1.02223698910680443e-03+0.00000000000000000e+00j ZXIYIZXXYXIX
1.74709404167369881e-03+0.00000000000000000e+00j YYXYIIIYZXIX
-1.74709404167369881e-03+0.00000000000000000e+00j XYYYIIIYZXIX
-1.74709404167369881e-03+0.00000000000000000e+00j YXYXIIIYIYIX
-1.74709404167369881e-03+0.00000000000000000e+00j XXXXIIIYIYIX
1.02223698910680312e-03+0.00000000000000000e+00j YXIXXZIYZXIX
-1.02223698910680312e-03+0.00000000000000000e+00j XXIXYZIYZXIX
1.02223698910680312e-03+0.00000000000000000e+00j YXIXYIIYIYIX
1.02223698910680312e-03+0.00000000000000000e+00j XXIXXIIYIYIX
1.02223698910680443e-03+0.00000000000000000e+00j YXIYIZXXZXIX
-1.02223698910680443e-03+0.00000000000000000e+00j XXIYIZYXZXIX
1.02223698910680443e-03+0.00000000000000000e+00j YXIXIIYYIYIX
1.02223698910680443e-03+0.00000000000000000e+00j XXIXIIXYIYIX
3.39599750047343569e-03+0.00000000000000000e+00j YZIIIIIIYIII
3.39599750047343569e-03+0.00000000000000000e+00j XZIIIIIIXIII
3.39599750047343569e-03+0.00000000000000000e+00j XIIIIIIIXZII
3.39599750047343569e-03+0.00000000000000000e+00j YIIIIIIIYZII
1.31534134082521015e-02+0.00000000000000000e+00j IZYZIIIIYIII
1.31534134082521015e-02+0.00000000000000000e+00j IZXZIIIIXIII
1.31534134082521015e-02+0.00000000000000000e+00j IIXIIIIIXZII
1.31534134082521015e-02+0.00000000000000000e+00j IIYIIIIIYZII
4.40594126157731365e-03+0.00000000000000000e+00j IIIIYZIIYIII
4.40594126157731365e-03+0.00000000000000000e+00j IIIIXZIIXIII
4.40594126157731365e-03+0.00000000000000000e+00j IIIIXIIIXZII
4.40594126157731365e-03+0.00000000000000000e+00j IIIIYIIIYZII
4.40594126157731712e-03+0.00000000000000000e+00j IIIZIZYZYIII
4.40594126157731712e-03+0.00000000000000000e+00j IIIZIZXZXIII
4.40594126157731712e-03+0.00000000000000000e+00j IIIIIIXIXZII
4.40594126157731712e-03+0.00000000000000000e+00j IIIIIIYIYZII
-2.58815398343582945e-03+0.00000000000000000e+00j YIIYIIIYIZYX
-2.58815398343582945e-03+0.00000000000000000e+00j XIIYIIIYIZXX
2.58815398343582945e-03+0.00000000000000000e+00j YIZXIIIYIZXX
-2.58815398343582945e-03+0.00000000000000000e+00j XIZXIIIYIZYX
-3.67196497793444978e-03+0.00000000000000000e+00j IIIYXIIYIZXX
3.67196497793444978e-03+0.00000000000000000e+00j IZZXYZIYIZXX
-3.67196497793444978e-03+0.00000000000000000e+00j IIIYYIIYIZYX
-3.67196497793444978e-03+0.00000000000000000e+00j IZZXXZIYIZYX
-3.67196497793445455e-03+0.00000000000000000e+00j IIIYIIXYIZXX
3.67196497793445455e-03+0.00000000000000000e+00j IZZYIZYXIZXX
-3.67196497793445455e-03+0.00000000000000000e+00j IIIYIIYYIZYX
-3.67196497793445455e-03+0.00000000000000000e+00j IZZYIZXXIZYX
-8.88439204847403779e-04+0.00000000000000000e+00j YYYIIIIIXYXI
