status,case_id,tensor_path,molecule,bond_length,basis,active_occupied,active_vacant,n_qubits,ordering,formula_order,trotter_steps,evolution_time,state_infidelity,coefficient_tolerance,source_csv,ordering_original
success,B-H_1.29_hgbs-5_as-002-004,hamiltonian_generator/library/B-H/1.29/hgbs-5/B-H_1.29_hgbs-5_as-002-004.tensors.npz,B-H,1.29,hgbs-5,2,4,6,fermionic_signed_coefficient_lexicographic,1,100,1.0,1.203000810079402e-09,1e-12,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,fermionic_signed_coefficient_lexicographic
success,B-H_1.29_hgbs-5_as-002-004,hamiltonian_generator/library/B-H/1.29/hgbs-5/B-H_1.29_hgbs-5_as-002-004.tensors.npz,B-H,1.29,hgbs-5,2,4,6,fermionic_coloring,1,100,1.0,1.364707902240525e-09,1e-12,analysis/l_sweep_trotter_state_t1.csv,fermionic_coloring
success,B-H_1.29_hgbs-5_as-004-004,hamiltonian_generator/library/B-H/1.29/hgbs-5/B-H_1.29_hgbs-5_as-004-004.tensors.npz,B-H,1.29,hgbs-5,4,4,8,jw_raw,1,100,1.0,1.4685598515029596e-08,1e-12,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,jw_raw
success,B-H_1.29_hgbs-5_as-004-004,hamiltonian_generator/library/B-H/1.29/hgbs-5/B-H_1.29_hgbs-5_as-004-004.tensors.npz,B-H,1.29,hgbs-5,4,4,8,jw_magnitude_descending_lexicographic,1,100,1.0,8.709122312211548e-09,1e-12,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,jw_magnitude_descending_lexicographic
success,B-H_1.29_hgbs-5_as-004-004,hamiltonian_generator/library/B-H/1.29/hgbs-5/B-H_1.29_hgbs-5_as-004-004.tensors.npz,B-H,1.29,hgbs-5,4,4,8,fermionic_signed_coefficient_lexicographic,1,100,1.0,9.56467260948557e-09,1e-12,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,fermionic_signed_coefficient_lexicographic
success,B-H_1.29_hgbs-5_as-004-004,hamiltonian_generator/library/B-H/1.29/hgbs-5/B-H_1.29_hgbs-5_as-004-004.tensors.npz,B-H,1.29,hgbs-5,4,4,8,fermionic_coloring,1,100,1.0,2.984248514970034e-08,1e-12,analysis/l_sweep_trotter_state_t1.csv,fermionic_coloring
success,B-H_1.29_hgbs-5_as-004-006,hamiltonian_generator/library/B-H/1.29/hgbs-5/B-H_1.29_hgbs-5_as-004-006.tensors.npz,B-H,1.29,hgbs-5,4,6,10,jw_raw,1,100,1.0,1.798494631000125e-08,1e-12,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,jw_raw
success,B-H_1.29_hgbs-5_as-004-006,hamiltonian_generator/library/B-H/1.29/hgbs-5/B-H_1.29_hgbs-5_as-004-006.tensors.npz,B-H,1.29,hgbs-5,4,6,10,jw_magnitude_descending_lexicographic,1,100,1.0,8.790169037098394e-09,1e-12,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,jw_magnitude_descending_lexicographic
success,B-H_1.29_hgbs-5_as-004-006,hamiltonian_generator/library/B-H/1.29/hgbs-5/B-H_1.29_hgbs-5_as-004-006.tensors.npz,B-H,1.29,hgbs-5,4,6,10,fermionic_signed_coefficient_lexicographic,1,100,1.0,9.597817207662729e-09,1e-12,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,fermionic_signed_coefficient_lexicographic
success,B-H_1.29_hgbs-5_as-004-006,hamiltonian_generator/library/B-H/1.29/hgbs-5/B-H_1.29_hgbs-5_as-004-006.tensors.npz,B-H,1.29,hgbs-5,4,6,10,fermionic_coloring,1,100,1.0,1.9810086793192738e-08,1e-12,analysis/four_way_missing_fermionic_coloring_hgbs5.csv,fermionic_coloring
